GCF_002788215.1,Halohasta_litchfieldiae_tADL,1073996,EURYARCHAEOTA
GCF_002025255.2,Halolamina_sp._CBA1230,1853690,EURYARCHAEOTA
GCF_024227715.1,Halomarina_sp._BCD28,2961595,EURYARCHAEOTA
GCF_024218775.1,Halomicroarcula_marina_DT1,2961574,EURYARCHAEOTA
GCF_000023965.1,Halomicrobium_mukohataei_DSM_12286,485914,EURYARCHAEOTA
GCF_002355635.1,Halopenitus_persicus_CBA1233,1048396,EURYARCHAEOTA
GCF_000217715.1,Halopiger_xanaduensis_SH-6,797210,EURYARCHAEOTA
GCF_003856835.1,Haloplanus_aerogenes_JCM_16430,660522,EURYARCHAEOTA
GCF_020097835.1,Haloprofundus_halobius_SEDH52,2876194,EURYARCHAEOTA
GCF_000237865.1,Haloquadratum_walsbyi_C23_DSM_16854_C23,768065,EURYARCHAEOTA
GCF_024362405.1,Halorarius_litoreus_BND22,2962676,EURYARCHAEOTA
GCF_000470655.1,Halorhabdus_tiamatea_SARL4B,1033806,EURYARCHAEOTA
GCF_001989615.1,Halorientalis_IM1011,1932360,EURYARCHAEOTA
GCF_000022205.1,Halorubrum_lacusprofundi_ATCC_49239,416348,EURYARCHAEOTA
GCF_004087835.1,Halorussus_pelagicus_RC-68,2505977,EURYARCHAEOTA
GCF_029338355.1,Halosegnis_sp._DT85,3034023,EURYARCHAEOTA
GCF_013415885.1,Halosimplex_rubrum_R27,869889,EURYARCHAEOTA
GCF_023028105.1,Halosolutus_gelatinilyticus_SQT-29-1,2931975,EURYARCHAEOTA
GCF_000517625.1,Halostagnicola_larsenii_XH-48,797299,EURYARCHAEOTA
GCF_000025325.1,Haloterrigena_turkmenica_DSM_5511,543526,EURYARCHAEOTA
GCF_026410925.1,Halovenus_salina_JCM_30072,1510225,EURYARCHAEOTA
GCF_000328525.1,Halovivax_ruber_XH-70,797302,EURYARCHAEOTA
GCF_032594435.1,Methanimicrococcus_sp._Es2,3028294,EURYARCHAEOTA
GCF_000191585.1,Methanobacterium_lacus_AL-21,877455,EURYARCHAEOTA
GCF_000024185.1,Methanobrevibacter_ruminantium_M1,634498,EURYARCHAEOTA
GCF_000091665.1,Methanocaldococcus_jannaschii_DSM_2661,243232,EURYARCHAEOTA
GCF_000063445.1,Methanocella_arvoryzae_MRE50,351160,EURYARCHAEOTA
GCF_000013725.1,Methanococcoides_burtonii_DSM_6242,259564,EURYARCHAEOTA
GCF_000011585.1,Methanococcus_maripaludis_S2,267377,EURYARCHAEOTA
GCF_000015765.1,Methanocorpusculum_labreanum_Z,410358,EURYARCHAEOTA
GCF_900036045.1,Methanoculleus_bourgensis,83986,EURYARCHAEOTA
GCF_003351865.1,Methanofervidicoccus_A16,2607662,EURYARCHAEOTA
GCF_017357525.1,Methanofollis_aquaemaris_N2F9704,126734,EURYARCHAEOTA
GCF_026684035.1,Methanogenium_organophilum_DSM_3596,2199,EURYARCHAEOTA
